INH|INCH
BG|BAG
BAR|BAR
BLL|BARREL (US)
BX|BOX
BO|BOTTLE
BJ|BUCKET
BE|BUNDLE
CT|CARTON
CMQ|CUBIC CENTIMETER
CLT|CENTILITER
CMT|CENTIMETER
CMK|SQUARE CENTIMETER
CI|CANISTER
CH|CONTAINER
CS|CASE
DMT|DECIMETER
DMK|SQUARE DECIMETRE
DZN|DOZEN
FOT|FOOT
FTK|SQUARE FOOT
FTQ|CUBIC FOOT
GRM|GRAM
GLL|US GALLON
HLT|HECTOLITER
KGM|KILOGRAM
LTR|LITER
LBR|US POUND
MTR|METER
MTK|SQUARE METER
MTQ|CUBIC METER
MGM|MILLIGRAM
MLT|MILLILITER
MMT|MILLIMETER
MMQ|CUBIC MILLIMETER
ONZ|OUNCE
PK|PACKAGE
PF|PALLET
PCE|PIECE
PR|PAIR
ST|SHEET
TNE|TONNES
TU|TUBE
UN|UNIT
MC|MICROGRAM
CA|CAN
DR|DRUM
SET|SET
JR|JAR
CU|CUP
TN|TIN
CL|COLLI
NRL|ROLLS
LN|LENGTH
CY|CYLINDER
